有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,代號,公司名稱
1260　富味鄉,TW0001260008,2012/11/26,興櫃,食品工業,ESVUFR,1260,富味鄉
1269　乾杯,TW0001269009,2016/08/29,興櫃,觀光事業,ESVUFR,1269,乾杯
1342　八貫,TW0001342004,2019/10/07,興櫃,塑膠工業,ESVUFR,1342,八貫
1563　巧新,TW0001563005,2006/10/26,興櫃,電機機械,ESVUFR,1563,巧新
1585　鎧鉅,TW0001585008,2007/05/02,興櫃,電子零組件業,ESVUFR,1585,鎧鉅
1594　日高,TW0001594000,2010/10/13,興櫃,電機機械,ESVUFR,1594,日高
1780　立弘,TW0001780005,2010/04/29,興櫃,生技醫療業,ESVUFR,1780,立弘
2071　震南鐵,TW0002071008,2019/09/23,興櫃,鋼鐵工業,ESVUFR,2071,震南鐵
2211　長榮鋼,TW0002211000,2020/01/13,興櫃,鋼鐵工業,ESVUFR,2211,長榮鋼
2237　華德動能,TW0002237005,2014/12/23,興櫃,電機機械,ESVUFR,2237,華德動能
2241　艾姆勒,TW0002241007,2016/03/10,興櫃,電機機械,ESVUFR,2241,艾姆勒
2245　詠勝昌,TW0002245008,2016/12/15,興櫃,電機機械,ESVUFR,2245,詠勝昌
2246　凱勝綠能,TW0002246006,2017/08/11,興櫃,電機機械,ESVUFR,2246,凱勝綠能
2247　汎德永業,TW0002247004,2017/10/31,興櫃,電機機械,ESVUFR,2247,汎德永業
2248　華勝-KY,KYG8T24R1076,2018/09/11,興櫃,電機機械,ESVUFR,2248,華勝-KY
2249　湧盛,TW0002249000,2019/12/19,興櫃,電機機械,ESVUFR,2249,湧盛
2599　樂揚,TW0002599008,2008/06/24,興櫃,建材營造業,ESVUFR,2599,樂揚
2721　楷捷-KY,KYG521031016,2009/12/17,興櫃,觀光事業,ESVUFR,2721,楷捷-KY
2730　美麗信,TW0002730009,2011/10/28,興櫃,觀光事業,ESVUFR,2730,美麗信
2733　維格,TW0002733003,2012/12/24,興櫃,觀光事業,ESVUFR,2733,維格
2741　老四川,TW0002741006,2014/10/28,興櫃,觀光事業,ESVUFR,2741,老四川
2750　桃禧,TW0002750007,2018/08/08,興櫃,觀光事業,ESVUFR,2750,桃禧
2754　亞洲藏壽司,TW0002754009,2019/06/28,興櫃,觀光事業,ESVUFR,2754,亞洲藏壽司
2755　揚秦,TW0002755006,2019/07/26,興櫃,觀光事業,ESVUFR,2755,揚秦
2938　床的世界,TW0002938008,2016/10/05,興櫃,貿易百貨業,ESVUFR,2938,床的世界
2942　京站,TW0002942000,2018/03/31,興櫃,貿易百貨業,ESVUFR,2942,京站
2945　三商家購,TW0002945003,2018/12/17,興櫃,貿易百貨業,ESVUFR,2945,三商家購
3097　拍檔,TW0003097002,2002/08/02,興櫃,電腦及週邊設備業,ESVUFR,3097,拍檔
3117　年程,TW0003117008,2012/08/31,興櫃,電子零組件業,ESVUFR,3117,年程
3138　耀登,TW0003138004,2004/09/10,興櫃,通信網路業,ESVUFR,3138,耀登
3150　鈺寶,TW0003150009,2010/10/06,興櫃,半導體業,ESVUFR,3150,鈺寶
3158　嘉實,TW0003158002,2018/03/16,興櫃,資訊服務業,ESVUFR,3158,嘉實
3168　眾福科,TW0003168001,2004/04/15,興櫃,光電業,ESVUFR,3168,眾福科
3184　微邦,TW0003184008,2013/04/18,興櫃,生技醫療業,ESVUFR,3184,微邦
3349　寶德,TW0003349007,2004/09/16,興櫃,電腦及週邊設備業,ESVUFR,3349,寶德
3357　臺慶科,TW0003357000,2011/04/06,興櫃,電子零組件業,ESVUFR,3357,臺慶科
3377　健格,TW0003377008,2011/09/06,興櫃,其他電子業,ESVUFR,3377,健格
3391　佳得,TW0003391009,2015/12/29,興櫃,通信網路業,ESVUFR,3391,佳得
3429　彥陽,TW0003429007,2007/10/15,興櫃,電子通路業,ESVUFR,3429,彥陽
3430　奇鈦科,TW0003430005,2010/09/16,興櫃,化學工業,ESVUFR,3430,奇鈦科
3485　敘豐,TW0003485009,2012/09/28,興櫃,光電業,ESVUFR,3485,敘豐
3585　聯致,TW0003585006,2007/10/25,興櫃,電子零組件業,ESVUFR,3585,聯致
3592　瑞鼎,TW0003592002,2007/10/29,興櫃,半導體業,ESVUFR,3592,瑞鼎
3595　山太士,TW0003595005,2007/11/16,興櫃,光電業,ESVUFR,3595,山太士
3603　建祥國際,TW0003603007,2008/01/09,興櫃,電子通路業,ESVUFR,3603,建祥國際
3627　華信科,TW0003627006,2013/03/26,興櫃,光電業,ESVUFR,3627,華信科
3633　云光,TW0003633004,2008/08/06,興櫃,光電業,ESVUFR,3633,云光
3659　百辰,TW0003659009,2009/10/19,興櫃,光電業,ESVUFR,3659,百辰
3674　康訊,TW0003674008,2010/06/01,興櫃,通信網路業,ESVUFR,3674,康訊
3678　聯享,TW0003678009,2009/10/22,興櫃,光電業,ESVUFR,3678,聯享
3688　華立捷,TW0003688008,2014/04/25,興櫃,光電業,ESVUFR,3688,華立捷
4117　普生,TW0004117007,2002/07/04,興櫃,生技醫療業,ESVUFR,4117,普生
4132　國鼎,TW0004132006,2010/05/26,興櫃,生技醫療業,ESVUFR,4132,國鼎
4136　太和-KY,KYG596381098,2016/01/27,興櫃,生技醫療業,ESVUFR,4136,太和-KY
4150　優你康,TW0004150008,2010/09/15,興櫃,生技醫療業,ESVUFR,4150,優你康
4151　明躍,TW0004151006,2010/12/08,興櫃,生技醫療業,ESVUFR,4151,明躍
4166　友霖,TW0004166004,2012/06/15,興櫃,生技醫療業,ESVUFR,4166,友霖
4169　泰宗,TW0004169008,2012/05/07,興櫃,生技醫療業,ESVUFR,4169,泰宗
4170　鑫品,TW0004170006,2013/04/15,興櫃,生技醫療業,ESVUFR,4170,鑫品
4172　因華,TW0004172002,2012/09/13,興櫃,生技醫療業,ESVUFR,4172,因華
4186　尖端醫,TW0004186002,2012/11/27,興櫃,生技醫療業,ESVUFR,4186,尖端醫
4191　法德藥,TW0004191002,2013/07/08,興櫃,生技醫療業,ESVUFR,4191,法德藥
4194　禾生技,TW0004194006,2013/12/13,興櫃,生技醫療業,ESVUFR,4194,禾生技
4195　基米,TW0004195003,2013/12/16,興櫃,生技醫療業,ESVUFR,4195,基米
4197　暐世,TW0004197009,2013/10/24,興櫃,生技醫療業,ESVUFR,4197,暐世
4431　敏成,TW0004431002,2011/08/30,興櫃,其他業,ESVUFR,4431,敏成
4440　宜新實業,TW0004440003,2019/09/11,興櫃,紡織纖維,ESVUFR,4440,宜新實業
4537　旭東,TW0004537006,2012/05/03,興櫃,光電業,ESVUFR,4537,旭東
4544　春日,TW0004544002,2012/12/24,興櫃,電機機械,ESVUFR,4544,春日
4546　長亨,TW0004546007,2013/07/30,興櫃,電機機械,ESVUFR,4546,長亨
4553　盛復,TW0004553003,2014/09/16,興櫃,電機機械,ESVUFR,4553,盛復
4558　寶緯,TW0004558002,2014/11/14,興櫃,電機機械,ESVUFR,4558,寶緯
4559　久裕興,TW0004559000,2014/12/08,興櫃,電機機械,ESVUFR,4559,久裕興
4565　宏偉,TW0004565007,2016/10/05,興櫃,電機機械,ESVUFR,4565,宏偉
4570　傑生,TW0004570007,2019/08/06,興櫃,電機機械,ESVUFR,4570,傑生
4573　高明鐵,TW0004573001,2018/07/26,興櫃,電機機械,ESVUFR,4573,高明鐵
